n_triangles,window,entry_z,exit_z,weight_cap,is_sharpe,is_cagr,is_max_dd,is_n_days,robust_score,min_yearly_sharpe,yearly_sharpes
10,120,2.5,0.5,0.15,0.6370642460047368,0.1127497961682391,-0.29380601303980813,1827,0.6219154568974885,0.46131125083240154,"{2020: nan, 2021: 0.9845480070490686, 2022: 0.7511318650266268, 2023: 0.8984139727998556, 2024: 0.46131125083240154}"
10,120,2.5,0.5,0.2,0.6312915363256457,0.1400202946230007,-0.3727296657850063,1827,0.5596439028892033,0.40416564044482806,"{2020: nan, 2021: 0.890122483765632, 2022: 0.7868645971948282, 2023: 0.9957549945742233, 2024: 0.40416564044482806}"
10,120,2.0,0.5,0.2,0.6659775278931166,0.1625440692941611,-0.361806885571899,1827,0.5413383366313523,0.2909800086298924,"{2020: nan, 2021: 1.1300325853479727, 2022: 1.0361047217696446, 2023: 0.36816591585087527, 2024: 0.2909800086298924}"
10,120,2.0,0.5,0.15,0.6195695059123657,0.12041150698701086,-0.2855434427030099,1827,0.5137245236646572,0.2418670064045739,"{2020: nan, 2021: 1.0928449407160035, 2022: 0.9964477344145651, 2023: 0.27890796117188094, 2024: 0.2418670064045739}"
10,120,2.5,0.75,0.15,0.5589196693469162,0.09416760850345218,-0.2775276342784754,1827,0.5072805313486674,0.3153430367362833,"{2020: nan, 2021: 0.9366961437504403, 2022: 0.8045521362324837, 2023: 0.47518527245833914, 2024: 0.3153430367362833}"
10,120,2.5,0.75,0.2,0.55277849864021,0.11542766484356037,-0.35560931526153705,1827,0.4830148806260408,0.25575889716881195,"{2020: nan, 2021: 0.8392328062706014, 2022: 0.8308076554886573, 2023: 0.5752669347680394, 2024: 0.25575889716881195}"
8,90,2.0,0.75,0.15,0.6705090189780252,0.12221683538063988,-0.21772054380070383,1827,0.4614787151583499,-0.06287793736268786,"{2020: nan, 2021: 1.1542038069715737, 2022: 1.1052671396386071, 2023: -0.06287793736268786, 2024: 0.23161393110803913}"
10,120,2.0,0.5,0.25,0.6748159454158289,0.1881110873798435,-0.4288893918359694,1827,0.44800074191117767,0.3787446396407185,"{2020: nan, 2021: 1.0116806301300296, 2022: 1.014532566845573, 2023: 0.5335727701745583, 2024: 0.3787446396407185}"
8,90,2.0,0.75,0.2,0.6596887308650726,0.15340077630126658,-0.2845200828632738,1827,0.44304822888225776,-0.08631208231338272,"{2020: nan, 2021: 1.1542038069715734, 2022: 1.1052671396386078, 2023: -0.08631208231338272, 2024: 0.17180599937046093}"
8,90,2.0,0.5,0.15,0.6079940180495307,0.10983751803239228,-0.21567434923017548,1827,0.43679750104971393,0.047722294892729576,"{2020: nan, 2021: 0.9393135943439885, 2022: 1.1106724095588711, 2023: 0.047722294892729576, 2024: 0.12169308718026876}"
10,90,2.0,0.75,0.15,0.7017754282520943,0.16070980043718608,-0.2537650212583361,1827,0.4200042437065446,-0.3939244803342808,"{2020: nan, 2021: 1.2009253131857347, 2022: 1.2121554987990475, 2023: -0.3939244803342808, 2024: 0.5346774040248823}"
10,90,2.0,0.5,0.15,0.6912392534825367,0.16031132118599678,-0.255942876716732,1827,0.41891902368610906,-0.34309469603183795,"{2020: nan, 2021: 1.102893447518045, 2022: 1.2690425722232814, 2023: -0.34309469603183795, 2024: 0.4438853352860604}"
8,90,2.0,0.5,0.2,0.5912460174975629,0.1341766937141704,-0.2821544876029176,1827,0.4090556327645782,0.017404326478909007,"{2020: nan, 2021: 0.9393135943439885, 2022: 1.1132560577723631, 2023: 0.02572571642538903, 2024: 0.017404326478909007}"
10,120,2.5,0.5,0.25,0.6056884636690574,0.15216843903101318,-0.43698387998273025,1827,0.4073792253518458,0.3950411695265537,"{2020: nan, 2021: 0.7436140692829398, 2022: 0.8096574260324123, 2023: 1.0223587768802984, 2024: 0.3950411695265537}"
8,90,2.0,0.5,0.25,0.5992001962919541,0.16078155619398649,-0.3273567717359013,1827,0.4014264950418539,-0.043954995678516844,"{2020: nan, 2021: 0.9400200432234325, 2022: 1.1295951505451325, 2023: -0.043954995678516844, 2024: 0.05901191931182451}"
10,90,2.0,0.5,0.2,0.672868021903833,0.18274294771308197,-0.3250515950681291,1827,0.3945307780346974,-0.35587381188170986,"{2020: nan, 2021: 1.1029176650279415, 2022: 1.2707345526796967, 2023: -0.35587381188170986, 2024: 0.32127015267812853}"
8,90,2.0,0.75,0.25,0.6390215191701728,0.1750153368988776,-0.3537869140142451,1827,0.39381074162626656,-0.16078219258690105,"{2020: nan, 2021: 1.1526411653234172, 2022: 1.1077353270210522, 2023: -0.16078219258690105, 2024: 0.07349527904629606}"
