triangle,target,leg1,leg2,score,adf_p,half_life,resid_std,n
SFPUSDT|BTCUSDT|BNBUSDT,SFPUSDT,BTCUSDT,BNBUSDT,-0.05223984800630304,2.0653586618295807e-11,6.268781758277934,0.11669738665618448,1288
SFPUSDT|BNBUSDT|SOLUSDT,SFPUSDT,BNBUSDT,SOLUSDT,-0.052769784768648444,5.635905820350768e-12,6.332374171561504,0.11814561261612594,1288
SFPUSDT|BTCUSDT|ETHUSDT,SFPUSDT,BTCUSDT,ETHUSDT,-0.05873092132894813,4.5247935186226836e-08,7.047705129721554,0.12774294374890072,1288
SFPUSDT|BTCUSDT|SOLUSDT,SFPUSDT,BTCUSDT,SOLUSDT,-0.0630457432016912,5.489327555258337e-07,7.565423312272281,0.13004998969938292,1288
DOGEUSDT|BNBUSDT|SOLUSDT,DOGEUSDT,BNBUSDT,SOLUSDT,-0.0682367205251417,6.162986649259966e-07,8.188332507177213,0.21747560786148204,1451
DOGEUSDT|ETHUSDT|SOLUSDT,DOGEUSDT,ETHUSDT,SOLUSDT,-0.06961066827652512,3.5658338691037526e-05,8.34900119254009,0.19643848733203823,1451
DOGEUSDT|BTCUSDT|BNBUSDT,DOGEUSDT,BTCUSDT,BNBUSDT,-0.07211717923035678,6.420033853960374e-07,8.653984467236565,0.21577555649528363,1517
DOGEUSDT|BTCUSDT|SOLUSDT,DOGEUSDT,BTCUSDT,SOLUSDT,-0.07246798521374408,1.4049642621454485e-10,8.696158208789718,0.18991514122587919,1451
SFPUSDT|ETHUSDT|BNBUSDT,SFPUSDT,ETHUSDT,BNBUSDT,-0.07472330031376888,1.5033354602871186e-11,8.966796035848263,0.15808788848243585,1288
SFPUSDT|ETHUSDT|SOLUSDT,SFPUSDT,ETHUSDT,SOLUSDT,-0.0750049571311065,2.0912607669986227e-07,9.000569760603575,0.15144343572225863,1288
DOGEUSDT|ETHUSDT|BNBUSDT,DOGEUSDT,ETHUSDT,BNBUSDT,-0.07657240257692495,0.00013441481988631275,9.172558530844636,0.23066143362727545,1517
IOTXUSDT|BNBUSDT|SOLUSDT,IOTXUSDT,BNBUSDT,SOLUSDT,-0.07828497911208598,3.5189530260285774e-09,9.394197071175954,0.11305526001838155,1119
XMRUSDT|BNBUSDT|SOLUSDT,XMRUSDT,BNBUSDT,SOLUSDT,-0.0790727223452275,5.194829553565853e-08,9.488720447631835,0.10282485347766593,1451
TRXUSDT|BTCUSDT|BNBUSDT,TRXUSDT,BTCUSDT,BNBUSDT,-0.08081988335403723,8.528928270475959e-09,9.698384979013074,0.10781340155466937,1668
